0,1,2,3,4,5,6,7,8,9,10,11
11409.0,-0.1,0.293,0.974,0.854,-0.549,0.122,47.0,-9.0,38.0,1745636146.0600202,0.0
11409.0,-0.102,0.293,0.975,0.824,-0.305,0.061,48.0,-10.0,38.0,1745636146.0600207,0.0
11425.0,-0.101,0.294,0.972,0.854,-0.549,0.122,48.0,-8.0,38.0,1745636146.167659,0.0
11425.0,-0.101,0.292,0.969,0.854,-0.336,0.0,47.0,-8.0,38.0,1745636146.1676595,0.0
11425.0,-0.099,0.292,0.966,0.885,-0.549,0.061,47.0,-8.0,39.0,1745636146.1676598,0.0
11441.0,-0.101,0.295,0.97,0.885,-0.549,0.061,47.0,-9.0,38.0,1745636146.261576,0.0
11441.0,-0.101,0.292,0.973,0.793,-0.092,-0.092,47.0,-9.0,38.0,1745636146.2615767,0.0
11457.0,-0.099,0.294,0.972,0.885,-0.702,0.122,47.0,-9.0,39.0,1745636146.3657184,0.0
11457.0,-0.1,0.294,0.971,0.885,-0.58,0.122,47.0,-10.0,38.0,1745636146.3657188,0.0
11457.0,-0.1,0.292,0.964,0.824,-0.092,-0.061,47.0,-8.0,38.0,1745636146.365719,0.0
11475.0,-0.102,0.292,0.97,0.885,-0.854,0.183,47.0,-8.0,38.0,1745636146.4678135,0.0
11475.0,-0.103,0.293,0.975,0.946,-0.305,0.0,47.0,-8.0,37.0,1745636146.4678137,0.0
11491.0,-0.101,0.297,0.972,0.854,-0.061,-0.061,48.0,-8.0,38.0,1745636146.5758312,0.0
11491.0,-0.099,0.296,0.978,0.885,-1.007,0.214,48.0,-9.0,39.0,1745636146.5758314,0.0
11491.0,-0.1,0.293,0.972,0.854,-0.458,0.061,48.0,-8.0,38.0,1745636146.575832,0.0
11506.0,-0.102,0.29,0.963,0.854,0.0,-0.092,48.0,-8.0,38.0,1745636146.6677945,0.0
11506.0,-0.101,0.292,0.964,0.885,-0.763,0.183,48.0,-9.0,38.0,1745636146.6677947,0.0
11506.0,-0.101,0.293,0.972,0.885,-0.671,0.122,46.0,-9.0,39.0,1745636146.6677952,0.0
11523.0,-0.102,0.294,0.974,0.885,-0.061,-0.092,47.0,-8.0,38.0,1745636146.7690923,0.0
11523.0,-0.101,0.294,0.979,0.916,-0.458,0.061,49.0,-9.0,38.0,1745636146.7690928,0.0
11540.0,-0.099,0.297,0.976,0.854,-0.824,0.183,47.0,-9.0,38.0,1745636146.8743403,0.0
11540.0,-0.102,0.295,0.97,0.854,-0.244,0.031,48.0,-9.0,38.0,1745636146.8743408,0.0
11540.0,-0.101,0.292,0.967,0.793,-0.122,-0.031,47.0,-9.0,38.0,1745636146.8743412,0.0
11556.0,-0.1,0.292,0.967,0.885,-1.007,0.244,47.0,-9.0,40.0,1745636146.9802315,0.0
11556.0,-0.101,0.292,0.969,0.824,-0.244,0.0,47.0,-10.0,38.0,1745636146.980232,0.0
11556.0,-0.099,0.294,0.975,0.854,0.0,-0.092,48.0,-8.0,38.0,1745636146.9802325,0.0
11571.0,-0.098,0.293,0.973,0.916,-1.068,0.275,47.0,-8.0,39.0,1745636147.0742223,0.0
11571.0,-0.102,0.294,0.976,0.854,-0.458,0.031,48.0,-9.0,38.0,1745636147.0742228,0.0
11588.0,-0.103,0.292,0.973,0.824,0.153,-0.122,47.0,-9.0,39.0,1745636147.1813405,0.0
11588.0,-0.1,0.293,0.966,0.885,-0.916,0.214,48.0,-9.0,38.0,1745636147.1813407,0.0
11588.0,-0.101,0.289,0.968,0.854,-0.488,0.061,49.0,-10.0,38.0,1745636147.1813412,0.0
11605.0,-0.101,0.291,0.968,0.824,-0.122,-0.031,47.0,-9.0,39.0,1745636147.2820563,0.0
